DATE  OF OCCURRENCE, PRIMARY DESCRIPTION,LATITUDE,LONGITUDE, LOCATION DESCRIPTION,BLOCK
7/17/17 22:48,ARSON,41.73849185,-87.56116895,VEHICLE NON-COMMERCIAL,086XX S COLFAX AVE
4/3/17 20:22,ARSON,41.75146867,-87.66710779,RESIDENCE,078XX S HERMITAGE AVE
9/22/17 3:40,ARSON,41.80242404,-87.6538718,RESIDENCE,050XX S MAY ST
12/12/17 3:35,ARSON,41.78847376,-87.65229938,RESIDENCE,058XX S ABERDEEN ST
8/14/17 2:46,ARSON,41.78416068,-87.66554848,RESIDENCE,060XX S MARSHFIELD AVE
7/19/17 7:00,ARSON,41.70543556,-87.53649372,APARTMENT,104XX S AVENUE L
10/20/17 6:20,ARSON,41.7627982,-87.64677597,RESIDENCE,072XX S PEORIA ST
7/19/17 20:08,ARSON,41.87715813,-87.72010804,PARK PROPERTY,037XX W JACKSON BLVD
4/23/17 5:14,ARSON,41.92181639,-87.72034203,STREET,037XX W LYNDALE ST
4/16/17 4:16,ARSON,41.84453891,-87.70319603,ALLEY,031XX W 26TH ST
5/30/17 3:23,ARSON,41.73177392,-87.60230396,STREET,089XX S DAUPHIN AVE
7/20/17 15:02,ARSON,41.6770594,-87.63706881,APARTMENT,119XX S WALLACE ST
10/6/17 21:25,ARSON,41.74453382,-87.56061287,STREET,026XX E 83RD ST
7/5/17 23:08,ARSON,41.84120544,-87.64271998,VEHICLE NON-COMMERCIAL,029XX S LOWE AVE
5/24/17 3:05,ARSON,41.86516548,-87.69586765,VEHICLE NON-COMMERCIAL,012XX S CALIFORNIA BLVD
5/2/17 2:10,ARSON,41.97080927,-87.73550472,VEHICLE NON-COMMERCIAL,049XX N KILDARE AVE
3/21/17 2:15,ARSON,41.85304921,-87.67920625,OTHER,021XX W 21ST PL
8/6/17 18:50,ARSON,41.69983894,-87.62609036,RESIDENCE,001XX W 107TH ST
6/25/17 1:22,ARSON,41.80889823,-87.74441824,STREET,046XX S LA CROSSE AVE
9/1/17 22:00,ARSON,41.70839866,-87.62835141,RESIDENCE,102XX S WENTWORTH AVE
11/2/17 5:20,ARSON,41.83700002,-87.7365205,PARKING LOT/GARAGE(NON.RESID.),030XX S KILBOURN AVE
9/17/17 20:18,ARSON,41.72970665,-87.64757905,DAY CARE CENTER,090XX S VINCENNES AVE
11/23/17 6:00,ARSON,41.97572807,-87.71043644,STREET,032XX W FOSTER AVE
6/2/17 3:07,ARSON,41.85411892,-87.66764763,APARTMENT,016XX W 21ST ST
4/4/17 23:58,ARSON,41.79115741,-87.68255313,PARKING LOT/GARAGE(NON.RESID.),056XX S CLAREMONT AVE
9/30/17 19:30,ARSON,41.7897324,-87.66568867,VEHICLE NON-COMMERCIAL,057XX S MARSHFIELD AVE
7/13/17 18:57,ARSON,41.7365803,-87.55971896,RESIDENCE-GARAGE,087XX S SAGINAW AVE
4/5/17 4:45,ARSON,41.89103463,-87.66153503,RESTAURANT,013XX W GRAND AVE
11/22/17 6:05,ARSON,41.94677658,-87.68513764,RESIDENCE,022XX W ADDISON ST
4/25/17 16:40,ARSON,41.91813809,-87.74372725,RESIDENCE,020XX N KILPATRICK AVE
4/18/17 0:01,ARSON,41.74071788,-87.65468758,ALLEY,084XX S ELIZABETH ST
5/30/17 4:14,ARSON,41.69821249,-87.53649135,ALLEY,108XX S AVENUE L
9/19/17 18:04,ARSON,41.99983775,-87.8176127,RESIDENCE-GARAGE,065XX N OXFORD AVE
5/26/17 8:43,ARSON,41.77024898,-87.67442843,VEHICLE NON-COMMERCIAL,020XX W 68TH ST
5/30/17 4:28,ARSON,41.70221832,-87.53045097,ALLEY,106XX S AVENUE F
2/2/18 20:04,ARSON,,,VEHICLE NON-COMMERCIAL,025XX W MAYPOLE AVE
4/5/17 12:27,ARSON,41.94598748,-87.75798675,RESIDENTIAL YARD (FRONT/BACK),052XX W ADDISON ST
10/1/17 7:53,ARSON,41.77148326,-87.64942911,ABANDONED BUILDING,067XX S MORGAN ST
5/12/17 23:00,ARSON,41.96945126,-87.67920445,ALLEY,048XX N DAMEN AVE
2/25/18 20:40,ARSON,41.80608712,-87.65517553,STREET,048XX S RACINE AVE
4/2/17 22:00,ARSON,41.93630073,-87.73129545,STREET,041XX W NELSON ST
12/7/17 1:30,ARSON,41.77507045,-87.71895147,VEHICLE NON-COMMERCIAL,038XX W 65TH ST
2/17/18 22:00,ARSON,41.89964399,-87.72621455,RESIDENTIAL YARD (FRONT/BACK),010XX N PULASKI RD
2/28/18 8:02,ARSON,41.93746764,-87.76645792,SMALL RETAIL STORE,031XX N CENTRAL AVE
2/27/18 12:13,ARSON,41.76963473,-87.66030679,APARTMENT,068XX S BISHOP ST
3/2/18 22:09,ARSON,41.93544182,-87.72557011,STREET,039XX W WELLINGTON AVE
3/2/18 19:46,ARSON,41.77662284,-87.70308407,SMALL RETAIL STORE,064XX S KEDZIE AVE
3/3/18 9:59,ARSON,41.88093219,-87.70954025,CHA PARKING LOT/GROUNDS,033XX W MADISON ST
3/4/18 14:33,ARSON,41.97917668,-87.67440104,CHA APARTMENT,053XX N RAVENSWOOD AVE
3/4/18 23:23,ARSON,41.92586025,-87.76161451,VEHICLE NON-COMMERCIAL,054XX W ALTGELD ST
7/24/17 19:45,ARSON,41.9740196,-87.87023635,WAREHOUSE,097XX W FARRAGUT AVE
3/5/18 16:55,ARSON,41.83396796,-87.67962074,VEHICLE NON-COMMERCIAL,021XX W 33RD ST
3/6/18 1:40,ARSON,41.87477217,-87.74505863,GROCERY FOOD STORE,004XX S CICERO AVE
1/28/18 5:38,ARSON,41.71830695,-87.55377724,ALLEY,097XX S ESCANABA AVE
8/25/17 6:05,ARSON,41.77686602,-87.6822247,ABANDONED BUILDING,064XX S CLAREMONT AVE
3/6/18 20:12,ARSON,42.01845145,-87.69824352,RESIDENCE,027XX W JEROME ST
3/7/18 13:20,ARSON,41.74888422,-87.57471702,"SCHOOL, PUBLIC, BUILDING",080XX S CHAPPEL AVE
3/8/18 0:25,ARSON,41.94225092,-87.76481296,STREET,055XX W ROSCOE ST
3/8/18 20:18,ARSON,41.99995796,-87.817494,RESIDENCE,065XX N OXFORD AVE
3/8/18 21:00,ARSON,41.88325615,-87.73472782,STREET,043XX W WEST END AVE
3/9/18 2:17,ARSON,41.76947541,-87.68704662,STREET,068XX S MAPLEWOOD AVE
3/10/18 23:53,ARSON,41.7328767,-87.5485672,RESIDENCE-GARAGE,089XX S BALTIMORE AVE
3/11/18 20:30,ARSON,41.81081593,-87.74324155,HOTEL/MOTEL,045XX S CICERO AVE
3/13/18 22:22,ARSON,41.87741656,-87.69798213,OTHER,028XX W JACKSON BLVD
8/30/17 5:30,ARSON,41.96938944,-87.70048881,GOVERNMENT BUILDING/PROPERTY,048XX N FRANCISCO AVE
9/4/17 18:49,ARSON,41.88895519,-87.714905,CHA APARTMENT,004XX N DRAKE AVE
3/15/18 16:24,ARSON,41.9074233,-87.68348599,RESIDENCE-GARAGE,014XX N BELL AVE
3/16/18 10:50,ARSON,41.76597152,-87.65292596,"SCHOOL, PUBLIC, BUILDING",070XX S MAY ST
6/12/17 3:54,ARSON,41.85610985,-87.65800603,STREET,012XX W 19TH ST
