NAME,ADDRESS,ZIP,GEODATE,LAT,LONG
OUR LADY OF PEACE CHURCH,7851 SOUTH JEFFERY BOULEVARD,60649,2007-10-03T00:00:00.000Z,41.752072,-87.5754094
BASILICA OF OUR LADY OF SORROWS CHURCH,3121 WEST JACKSON BOULEVARD,60612,2007-10-04T00:00:00.000Z,41.8770011,-87.70404
OLD SAINT PATRICK'S CHURCH,700 WEST ADAMS STREET,60661,2007-10-03T00:00:00.000Z,41.8794308,-87.6444226
SAINT PHILLIP NERI CHURCH,2132 EAST 72ND STREET,60649,2007-10-03T00:00:00.000Z,41.7648638,-87.5725966
SAINT RENE GOUPIL CATHOLIC CHURCH,6340 SOUTH NEW ENGLAND AVENUE,60638,2007-10-03T00:00:00.000Z,41.7760255,-87.7944647
SAINT STANISLAUS BISHOP AND MARTYR CHURCH,5352 WEST BELDEN STREET,60639,2007-10-03T00:00:00.000Z,41.922658,-87.7603883
SAINT STANISLAUS KOSTKA CHURCH,1300 NORTH NOBLE STREET,60622,2007-10-03T00:00:00.000Z,41.9059235,-87.6622558
SAINT MICHAEL CHURCH,12205 SOUTH PARNELL AVENUE,60628,2007-10-04T00:00:00.000Z,41.6722212,-87.6354146
SAINT EPHREM CHURCH,2537 WEST BRYN MAWR AVENUE,60659,2007-10-04T00:00:00.000Z,41.982902,-87.6934266
MART MARIAM CATHOLIC CHURCH,2849 WEST CHASE AVENUE,60645,2007-10-04T00:00:00.000Z,42.0135331,-87.7019234
NATIONAL SHRINE OF SAINT JUDE,3200 EAST 91ST STREET,60617,2007-10-04T00:00:00.000Z,41.7304129,-87.5466999
SHRINE OF OUR LADY OF POMPEII,1224 WEST LEXINGTON STREET,60607,2007-10-04T00:00:00.000Z,41.8724544,-87.6580864
BLESSED ALOJZIJE CARDINAL STETINAC MISSION CHURCH,6346 NORTH RIDGE AVENUE,60660,2007-10-04T00:00:00.000Z,41.9975264,-87.6771499
SAINT THERESE CHINESE CATHOLIC CHURCH,218 WEST ALEXANDER STREET,60616,2007-10-04T00:00:00.000Z,41.8516569,-87.6326173
SAINT FLORIAN CHURCH,13145 SOUTH HOUSTON AVENUE,60633,2007-10-04T00:00:00.000Z,41.6565206,-87.5478312
THE FAITH COMMUNITY OF SAINT SABINA,1210 WEST 78TH PLACE,60620,2009-04-06T00:00:00.000Z,41.7516416,-87.6548644
SAINT COLUMBANUS CHURCH,331 EAST 71ST STREET,60619,2009-04-02T00:00:00.000Z,41.7652158,-87.6179012
SAINT KILIAN CATHOLIC CHURCH,8725 SOUTH MAY STREET,60620,2009-04-02T00:00:00.000Z,41.7354993,-87.6517498
SAINT FERDINAND CHURCH,5900 WEST BARRY AVENUE,60634,2009-04-02T00:00:00.000Z,41.9369047,-87.7744317
IMMACULATE CONCEPTION CHURCH,1431 NORTH NORTH PARK AVENUE,60610,2009-04-03T00:00:00.000Z,41.9085484,-87.6359326
IMMACULATE CONCEPTION CHURCH,2745 WEST 44TH STREET,60632,2009-04-08T00:00:00.000Z,41.8132867,-87.6939366
SAINT MAURICE CHURCH,3615 SOUTH HOYNE AVENUE,60609,2009-04-09T00:00:00.000Z,41.8283128,-87.6772021
SAINT FIDELIS CHURCH,1406 NORTH WASHTENAW AVENUE,60622,2009-04-08T00:00:00.000Z,41.9069077,-87.6947954
SAINT KEVIN CHURCH,10509 SOUTH TORRENCE AVENUE,60617,2009-04-03T00:00:00.000Z,41.7043545,-87.559157
SAINT AGATHA CATHOLIC CHURCH,3147 WEST DOUGLAS BOULEVARD,60623,2009-04-01T00:00:00.000Z,41.8622931,-87.70496
SAINT ANDREW CHURCH,3546 NORTH PAULINA STREET,60657,2009-04-02T00:00:00.000Z,41.9467834,-87.6718201
